Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;20;97.4737;93.4912;92.3358;1056;999;908;845;742;671;615;591;571;565;481;471;395;293;263;214;190;167;111;88.8101;0;96.2533;67.8553;14;7;5;5;4;4;908;0;733;0;974;1595;542;1129;0;643;1583;489;1944;0;529;963;408;2245;0;656;134;809
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;21;88.1928;84.9932;83.2484;1002;928;816;772;744;683;628;541;500;483;372;267;231;215;191;151;47;46;46;74.1844;0;77.2858;69.8421;32;15;5;11;5;3;249;0;96;0;1157;2460;131;593;0;1042;2153;56;2155;0;1033;648;8;2100;0;1516;227;1
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;22;67.905;62.2352;61.0195;989;984;956;930;920;896;813;804;721;633;579;505;482;439;407;348;318;254;236;76.6839;60;78.3093;76.962;17;8;3;5;4;1;167;0;213;0;198;3220;213;929;0;36;2830;49;1347;0;0;2497;0;1509;0;0;2331;4
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;23;108.019;92.3697;90.3431;1039;1015;993;975;944;921;886;867;853;799;760;710;672;660;596;518;401;387;301;42.84;0;40.956;32.0925;35;15;5;5;3;3;341;0;801;0;986;1929;128;1906;0;528;1410;0;3659;0;3;182;0;3832;0;0;0;12
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;24;117.002;99.3065;97.7245;1027;1020;975;951;939;910;858;839;804;779;715;694;643;572;433;412;364;312;288;52.685;0;52.0626;31.5576;37;17;6;3;3;2;559;0;1107;0;930;1653;154;2048;0;332;1388;76;3717;0;4;104;19;3568;0;244;2;30
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;25;114.284;96.6454;95.5159;953;909;878;865;836;814;768;723;709;690;675;658;634;617;541;463;437;407;401;44.3741;0;56.007;40.9002;22;10;3;4;3;2;974;0;1070;0;1040;1336;398;1466;0;785;1178;415;2400;0;407;660;377;1752;0;592;324;1176
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;26;114.009;102.698;99.5773;883;838;742;718;715;712;703;700;656;633;614;594;588;585;534;497;477;465;431;52.6355;0;54.2122;50.1505;32;17;5;8;4;2;773;0;1295;0;790;842;917;1803;0;721;502;818;2517;0;308;255;764;1920;0;1001;322;601
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;27;134.787;120.089;117.532;1022;1004;964;953;929;921;878;860;822;798;787;736;714;674;629;623;613;609;559;33.9594;0;40.8652;40.4195;35;16;5;4;3;2;492;0;1486;0;1223;1070;65;2295;0;795;724;30;2953;0;569;292;30;2369;0;1394;13;68
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;28;119.136;105.76;101.311;1039;981;922;895;830;795;767;731;708;693;639;633;586;552;476;471;459;450;430;33.3228;0;32.8439;40.5742;32;12;4;2;2;2;857;0;1163;0;948;975;758;1625;0;529;915;775;2598;0;163;307;776;2024;0;673;382;765
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;29;85.2864;82.6777;73.9162;887;736;590;478;399;352;312;284;279;221;190;161;75;75;32;30;30;29;23;55.8364;60;30.0206;30.3338;0;0;0;0;0;0;0;0;407;0;230;161;3046;332;0;284;86;3142;179;0;343;146;3176;29;0;144;389;3282
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;30;98.4527;93.4256;92.5466;1001;954;822;767;721;654;617;611;571;553;481;456;436;401;314;245;214;211;169;84.1121;0;92.0858;54.7561;26;16;6;3;3;1;1096;0;720;0;1115;1706;303;1396;0;811;1441;196;2086;0;557;1086;115;2951;0;456;205;232
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;31;91.9644;89.5169;89.1137;1026;970;878;857;811;739;679;646;617;598;544;481;458;435;397;270;195;176;121;94.9709;0;100.705;73.6446;21;12;4;5;3;3;808;0;390;0;1213;1958;283;1171;0;1088;1432;153;2026;0;1025;743;50;3004;0;840;0;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;32;126.963;117.127;116.893;1003;954;904;876;832;800;750;732;721;717;678;673;648;630;607;602;581;545;539;80.4763;0;83.0491;44.1093;25;12;3;3;3;2;1425;0;1598;0;1188;837;221;2403;0;889;469;83;2970;0;433;416;25;2036;0;1278;233;297
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;33;131.453;109.316;107.004;1031;1018;981;948;909;886;852;841;835;815;796;790;759;756;750;730;718;707;657;43.0198;0;44.2453;32.481;26;12;6;4;4;3;1128;0;1353;0;1197;1167;127;2155;0;716;892;81;3336;0;323;152;33;2404;0;1166;118;156
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;34;104.112;88.7258;86.4123;1031;1010;944;912;888;864;838;813;773;768;749;692;581;557;501;441;433;403;355;43.2222;0;42.7465;36.0296;13;7;3;0;0;0;233;0;839;0;818;1596;591;1504;0;708;1216;416;2418;0;342;879;205;1898;0;116;669;1161
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;35;130.798;115.24;111.912;1019;987;911;886;873;849;829;799;761;735;709;694;637;603;573;522;492;445;419;24.8091;0;28.2731;30.3698;29;15;6;5;5;4;1190;0;1699;0;1274;545;326;2297;0;1034;334;179;3019;0;509;243;73;1539;0;1711;439;155
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;36;112.701;101.638;98.8306;1044;1017;981;947;921;908;865;852;808;769;741;725;714;704;682;679;657;634;589;53.0767;0;57.0584;49.2346;26;10;6;2;2;2;1321;0;1351;0;741;1154;598;2289;0;417;637;501;2858;0;70;499;417;2233;0;470;527;614
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;37;144.961;132.124;130.888;971;960;926;910;881;865;843;835;823;793;781;757;730;726;696;691;680;674;641;46.2219;0;49.1711;35.0634;37;17;5;13;8;4;404;0;2173;0;948;632;91;2819;0;824;183;18;2767;0;876;201;0;1801;0;1731;179;133
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;38;119.582;109.528;106.179;953;898;844;791;780;757;733;689;649;632;612;588;576;538;534;518;515;513;488;48.231;0;46.9518;45.1364;27;15;5;6;6;3;554;0;1267;0;830;1317;430;2121;0;697;725;301;2965;0;435;191;253;1711;0;1461;231;441
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;39;117.658;105.687;103.566;966;937;887;856;832;813;781;769;749;739;700;692;639;629;573;557;536;520;491;42.7781;0;50.6497;48.0835;22;15;5;2;2;2;1128;0;1341;0;1010;1185;308;2318;0;800;499;227;2626;0;478;575;165;1462;0;875;413;1094
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;40;94.9982;90.9732;90.7773;1053;986;893;843;716;672;651;621;587;572;533;472;344;277;272;248;221;210;210;93.5861;0;99.283;73.5245;24;14;5;5;4;3;997;0;681;0;713;1812;638;1731;0;540;1213;360;2762;0;298;467;317;3463;0;105;1;275
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;41;99.012;93.813;92.8796;1047;1004;916;887;859;823;745;693;647;636;524;495;394;371;320;238;183;151;148;80.166;0;87.7047;62.131;23;13;6;8;4;3;734;0;328;0;1721;1677;118;885;0;1324;1624;11;1804;0;1317;723;0;3607;0;237;0;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;42;106.569;96.1311;94.7851;972;959;938;896;882;875;847;813;780;749;737;718;700;683;597;596;587;564;494;74.7313;0;76.8092;50.4211;19;12;5;1;1;1;790;0;877;0;1123;1520;324;2149;0;671;839;185;2947;0;346;425;126;1852;0;472;666;854
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;43;111.112;101.195;97.7747;945;926;849;802;782;746;720;704;685;648;603;583;544;533;503;490;444;415;382;46.1891;0;39.0458;38.8697;17;12;4;3;2;2;395;0;1247;0;619;811;1167;1782;0;639;305;1118;1978;0;676;137;1053;1342;0;1177;81;1244
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;44;108.933;98.4162;96.36;1004;988;959;937;893;856;829;810;771;762;704;664;661;656;624;594;517;465;457;63.2006;0;60.3674;46.4956;27;13;3;1;1;0;562;0;1346;0;544;1799;155;2232;0;607;973;32;2650;0;447;747;0;2502;0;785;358;199
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;45;108.129;97.4313;96.768;1008;984;945;913;862;852;828;785;751;737;706;685;670;663;652;648;627;602;575;61.5739;0;70.4542;50.4676;35;15;4;3;3;2;795;0;1244;0;725;1816;59;2209;0;354;1275;6;3283;0;123;438;0;3060;0;676;44;64
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;46;104.612;89.4641;86.2633;1074;1020;974;947;927;865;827;811;787;777;757;735;689;668;658;645;621;575;492;46.044;0;47.3232;41.9941;20;13;7;3;2;2;642;0;1299;0;439;1634;472;2471;0;177;847;349;3167;0;54;273;350;3234;0;212;10;388
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;47;115.774;103.031;102.818;980;967;927;893;880;859;788;773;752;741;735;710;690;679;643;628;623;571;548;61.3189;0;68.4725;33.8542;19;9;5;4;4;4;503;0;1221;0;1164;950;509;1991;0;993;390;470;2436;0;699;235;474;1288;0;548;782;1226
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;48;124.229;113.356;110.796;957;919;884;868;838;818;811;801;793;790;783;782;751;728;703;658;631;587;565;42.5455;0;45.3768;41.9204;38;17;6;11;6;3;173;0;1676;0;794;980;394;2501;0;722;392;229;3002;0;503;172;167;1867;0;1208;93;676
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;49;113.928;102.399;101.149;936;902;850;827;777;760;727;719;709;704;688;683;661;626;619;590;550;508;467;52.9945;0;59.5854;37.2193;27;12;5;3;2;2;351;0;1435;0;879;898;632;2217;0;713;345;569;2649;0;163;469;563;1573;0;460;177;1634
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;50;114.686;108.487;107.168;1070;1048;993;977;923;895;860;831;766;726;708;683;615;606;572;559;541;499;447;75.0073;0;81.56;63.9033;30;15;7;5;5;4;1086;0;249;0;2938;615;42;144;0;2959;727;14;468;0;2848;523;5;1138;0;2706;0;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;51;111.226;103.975;102.183;1064;1038;978;946;937;910;846;809;780;754;714;699;680;664;643;620;584;468;335;62.001;0;68.5467;55.5578;33;14;5;5;3;2;842;0;246;0;2620;967;11;269;0;2526;1049;0;965;0;2244;635;0;1656;0;2188;0;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;52;93.6004;81.2958;79.3712;1067;1029;1007;970;947;927;889;849;840;828;810;789;750;723;627;619;593;514;491;66.0369;0;68.7171;55.4372;19;11;3;2;2;2;551;0;753;0;745;2138;208;2094;0;254;1432;64;3326;0;19;477;22;3753;0;0;0;91
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;53;94.6792;82.5515;80.3585;1010;988;932;905;894;876;870;859;833;824;808;759;732;713;637;616;592;569;498;68.8117;0;66.4571;52.6508;11;8;3;1;1;1;774;0;939;0;488;1736;681;1927;0;228;1055;634;2362;0;150;738;594;2356;0;13;235;1240
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;54;126.807;106.088;103.678;1000;978;951;925;887;863;856;845;836;814;781;774;753;730;684;673;668;623;618;70.5983;0;67.674;45.4392;32;17;6;9;8;5;199;0;1478;0;762;1578;26;2637;0;429;766;12;3552;0;159;133;0;2724;0;551;0;569
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;55;113.231;102.829;101.726;972;957;942;923;898;862;771;752;693;656;618;598;593;560;494;493;477;473;411;57.7261;0;61.7438;41.2968;32;17;4;16;9;2;352;0;1356;0;674;1753;61;1947;0;439;1428;30;2845;0;222;774;3;2826;0;487;311;220
